categoria,nom_video,codificador,platform,mida_sortida_mb,temps_total_sec,io_read_mb
cartoon,tom_and_jerry.yuv,VVC,android,1.27,774.985,22311
drone,dji_avata2_cinematic.yuv,VVC,windows,3.41939,671.66,5.13018
drone,dji_avata2_cinematic.yuv,VVC,android,3.41,1662.07,2262.48
drone,dji_avata2_trailer.yuv,VVC,windows,4.00491,770.26,5.13066
drone,dji_avata2_trailer.yuv,VVC,android,4,2042.89,4499.43
drone,dji_mavic3_pro.yuv,VVC,windows,3.78552,702.26,5.13115
drone,dji_mavic3_pro.yuv,VVC,android,3.78,1941.79,6732.83
drone,dji_mavic4_pro.yuv,VVC,windows,2.03914,474.67,5.13163
drone,dji_mavic4_pro.yuv,VVC,android,2.03,1350.71,8963.18
drone,dji_mini_3_pro.yuv,VVC,windows,2.87144,508.76,5.13212
drone,dji_mini_3_pro.yuv,VVC,android,2.86,1421.58,11200.1
drone,dolomites_dji_inspire3.yuv,VVC,windows,3.14283,545.7,5.13261
drone,dolomites_dji_inspire3.yuv,VVC,android,3.13,1388.33,13433.9
drone,indonesia.yuv,VVC,windows,3.34752,709.15,5.13309
drone,indonesia.yuv,VVC,android,3.34,2074.75,15668.8
drone,madeira_dji_mavic3.yuv,VVC,windows,4.27871,661.14,5.13358
drone,madeira_dji_mavic3.yuv,VVC,android,4.27,1935.21,17902.8
drone,norway_dji_mavic2_pro.yuv,VVC,windows,3.52152,581.83,5.13407
drone,norway_dji_mavic2_pro.yuv,VVC,android,3.51,1894.85,20136.8
drone,shangai_dji_air3s.yuv,VVC,windows,3.59844,593.3,5.13455
drone,shangai_dji_air3s.yuv,VVC,android,3.59,1663.91,22373.5
film,andor.yuv,VVC,windows,2.14787,458.29,5.14123
film,andor.yuv,VVC,android,2.14,1140.14,2272.08
film,bambi.yuv,VVC,windows,3.49881,606.64,5.14171
film,bambi.yuv,VVC,android,3.49,1531.34,4504.48
film,conclave.yuv,VVC,windows,1.20494,372.31,5.1422
film,conclave.yuv,VVC,android,1.2,1000.34,6737.87
film,dune_2.yuv,VVC,windows,1.55814,478.34,5.14269
film,dune_2.yuv,VVC,android,1.55,1462.87,8972.83
film,gladiator_2.yuv,VVC,windows,2.86664,578.35,5.14317
film,gladiator_2.yuv,VVC,android,2.86,1597.82,11205.9
film,indiana_jones.yuv,VVC,windows,2.05333,498.5,5.14366
film,indiana_jones.yuv,VVC,android,2.04,1453.7,13441.9
film,mufasa.yuv,VVC,windows,2.19783,550.15,5.14415
film,mufasa.yuv,VVC,android,2.19,1754.55,15677.4
film,oppenheimer.yuv,VVC,windows,1.33882,393.86,5.14463
film,oppenheimer.yuv,VVC,android,1.33,1237.04,17907.7
film,rise_of_skywalker.yuv,VVC,windows,2.82472,541.67,5.14512
film,rise_of_skywalker.yuv,VVC,android,2.82,1638.52,20137.8
film,the_hunger_games.yuv,VVC,windows,2.50264,561.18,5.1456
film,the_hunger_games.yuv,VVC,android,2.49,1516.41,22368.3
ia,ancient_greece.yuv,VVC,windows,3.39949,670.49,5.15714
ia,ancient_greece.yuv,VVC,android,3.39,1403.41,2268.57
ia,ancient_rome.yuv,VVC,windows,4.24241,703.59,5.15763
ia,ancient_rome.yuv,VVC,android,4.23,1976.09,4499.99
ia,babylon.yuv,VVC,windows,3.89192,646.67,5.15812
ia,babylon.yuv,VVC,android,3.88,1602.87,6733.03
ia,copernicus.yuv,VVC,windows,1.72909,512.47,5.1586
ia,copernicus.yuv,VVC,android,1.72,1260.88,8966.19
ia,historical_figures.yuv,VVC,windows,2.38256,572.97,5.15909
ia,historical_figures.yuv,VVC,android,2.37,1233.32,11202
ia,mega_tsunami.yuv,VVC,windows,6.01968,947.91,5.15958
ia,mega_tsunami.yuv,VVC,android,6.01,2284.19,13429.6
ia,middle_ages.yuv,VVC,windows,4.11331,718.93,5.16006
ia,middle_ages.yuv,VVC,android,4.1,1665.85,15662.6
ia,retro_future.yuv,VVC,windows,3.59655,672.46,5.16055
ia,retro_future.yuv,VVC,android,3.59,1662.47,17898.7
ia,sands_of_eldara.yuv,VVC,windows,4.98798,773.27,5.16104
ia,sands_of_eldara.yuv,VVC,android,4.98,1933.9,20131.7
ia,viking_age.yuv,VVC,windows,4.16321,706.79,5.16152
ia,viking_age.yuv,VVC,android,4.15,1487.16,22367
interview,ancelotti.yuv,VVC,windows,1.89097,506.2,5.17314
interview,ancelotti.yuv,VVC,android,1.88,1075.75,2264
interview,anne_hathaway.yuv,VVC,windows,2.91989,635.56,5.17362
interview,anne_hathaway.yuv,VVC,android,2.91,1632.81,4504.18
interview,estoicismo.yuv,VVC,windows,1.52962,510.08,5.17411
interview,estoicismo.yuv,VVC,android,1.52,1249.64,6737.59
interview,judson_brewer.yuv,VVC,windows,3.55627,691.88,5.1746
interview,judson_brewer.yuv,VVC,android,3.55,1290.79,8968.27
interview,pep_guardiola.yuv,VVC,windows,3.51381,829.48,5.17508
interview,pep_guardiola.yuv,VVC,android,3.5,1592.56,11202.3
interview,taylor_swift.yuv,VVC,windows,2.96755,604.78,5.17557
interview,taylor_swift.yuv,VVC,android,2.96,1347.29,13439.2
interview,ted_agniv_vinoth.yuv,VVC,windows,2.01087,605.52,5.17606
interview,ted_agniv_vinoth.yuv,VVC,android,2,1387.6,15670
interview,ted_gregory_russell.yuv,VVC,windows,1.67305,636.95,5.17654
interview,ted_gregory_russell.yuv,VVC,android,1.66,1321.06,17907.2
interview,ted_lara_boyd.yuv,VVC,windows,2.11744,676.28,5.17703
interview,ted_lara_boyd.yuv,VVC,android,2.11,1593.14,20144.5
interview,wild_project_.yuv,VVC,windows,3.00778,634.64,5.17752
interview,wild_project_.yuv,VVC,android,3,1572.36,22382
sport,clasico_lamine.yuv,VVC,windows,4.31624,649.18,5.15407
sport,clasico_lamine.yuv,VVC,android,4.3,1950.03,2280.88
sport,fcb_madrid.yuv,VVC,windows,4.41196,726.33,5.15456
sport,fcb_madrid.yuv,VVC,android,4.4,2213.61,4513.57
sport,giro_italia.yuv,VVC,windows,3.78405,635.05,5.15505
sport,giro_italia.yuv,VVC,android,3.77,1892.12,6747.32
sport,kentucky_derby.yuv,VVC,windows,5.46964,750.49,5.15553
sport,kentucky_derby.yuv,VVC,android,5.46,2233.79,8986.13
sport,red_bull_jackson_goldstone.yuv,VVC,windows,8.19491,960.6,5.15602
sport,red_bull_jackson_goldstone.yuv,VVC,android,8.18,3178.45,11224.9
sport,red_bull_juanfer_velez.yuv,VVC,windows,3.49829,762.7,5.15651
sport,red_bull_juanfer_velez.yuv,VVC,android,3.49,2216.89,13461.3
sport,timberwolves_warriors.yuv,VVC,windows,5.07205,741.21,5.15699
sport,timberwolves_warriors.yuv,VVC,android,5.06,2130.42,15695.1
sport,tour_de_france.yuv,VVC,windows,4.78814,748.69,5.15748
sport,tour_de_france.yuv,VVC,android,4.78,1861.73,17926
sport,waterpolo_croatia_spain.yuv,VVC,windows,4.85746,766.87,5.15797
sport,waterpolo_croatia_spain.yuv,VVC,android,4.85,1727.39,20157.2
sport,waterpolo_italy_croatia.yuv,VVC,windows,7.75956,1169.46,5.15845
